DocType: Accounting Period,Period Name,Nama Periode
DocType: Job Card,Material Transferred,Material Ditransfer
DocType: Employee Advance,Due Advance Amount,Jumlah Uang Muka Jatuh Tempo
DocType: Maintenance Visit,Customer Feedback,Umpan Balik Pelanggan
DocType: Account,Expense,Biaya
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.js,Score cannot be greater than Maximum Score,Skor tidak bisa lebih besar dari skor maksimum
DocType: Support Search Source,Source Type,Jenis Sumber
DocType: Course Content,Course Content,Konten Kursus
apps/erpnext/erpnext/utilities/user_progress.py,Customers and Suppliers,Pelanggan dan Pemasok
DocType: Item Attribute,From Range,Dari Rentang
DocType: BOM,Set rate of sub-assembly item based on BOM,Tetapkan tarif barang sub-rakitan berdasarkan BOM
DocType: Inpatient Occupancy,Invoiced,Faktur
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,Produk WooCommerce
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Syntax error in formula or condition: {0},kesalahan sintaks dalam formula atau kondisi: {0}
apps/erpnext/erpnext/stock/utils.py,Item {0} ignored since it is not a stock item,Barang {0} diabaikan karena bukan barang persediaan
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","Untuk tidak menerapkan Aturan Harga dalam transaksi tertentu, semua Aturan Harga harus dinonaktifkan."
DocType: Payment Term,Day(s) after the end of the invoice month,Hari setelah akhir bulan faktur
DocType: Assessment Group,Parent Assessment Group,Induk Penilaian Kelompok
DocType: Employee Checkin,Shift Actual End,Akhir Aktual Shift
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py,Jobs,Pekerjaan
,Sales Order Trends,Tren Order Penjualan
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,The 'From Package No.' field must neither be empty nor it's value less than 1.,'Dari Paket No.' lapangan tidak boleh kosong atau nilainya kurang dari 1.
DocType: Employee,Held On,Diadakan Pada
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order_calendar.js,Production Item,Produksi Item
,Employee Information,Informasi Karyawan
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},Tenaga Kesehatan tidak tersedia di {0}
DocType: Stock Entry Detail,Additional Cost,Biaya Tambahan
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Voucher No, if grouped by Voucher","tidak bisa memfilter menurut No. Voucher, jika dikelompokkan menurut Voucher"
DocType: Quality Inspection,Incoming,Masukan
apps/erpnext/erpnext/setup/doctype/company/company.js,Default tax templates for sales and purchase are created.,Template pajak standar untuk penjualan dan pembelian telah dibuat.
apps/erpnext/erpnext/education/doctype/assessment_result/assessment_result.py,Assessment Result record {0} already exists.,Data Hasil Penilaian {0} sudah ada.
DocType: Item,"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","Contoh: ABCD. #####. Jika ada serial dan Nomor Batch tidak disebutkan dalam transaksi, maka Nomor Batch otomatis akan dibuat berdasarkan serial ini. Jika Nomor Batch untuk item ini selalu ingin dibuat eksplisit, biarkan kosong. Catatan: pengaturan ini akan lebih prioritas daripada Awalan Seri Penamaan dalam Pengaturan Persediaan."
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Outward taxable supplies(zero rated),Persediaan kena pajak ke luar (nilai nol)
DocType: BOM,Materials Required (Exploded),Material dibutuhkan (Dirinci)
apps/erpnext/erpnext/buying/report/purchase_analytics/purchase_analytics.js,based_on,based_on
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Submit Review,Kirim Ulasan
DocType: Contract,Party User,Pihak Pengguna
apps/erpnext/erpnext/stock/report/total_stock_summary/total_stock_summary.py,Please set Company filter blank if Group By is 'Company',Harap tentukan filter Perusahaan jika Kelompok By 'Company'
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,Posting Date cannot be future date,Posting Tanggal tidak bisa tanggal di masa depan
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Serial No {1} does not match with {2} {3},Baris #{0}: Nomor Seri {1} tidak sesuai dengan {2} {3}
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py,Please setup numbering series for Attendance via Setup &gt; Numbering Series,Silakan atur seri penomoran untuk Kehadiran melalui Pengaturan&gt; Seri Penomoran
DocType: Stock Entry,Target Warehouse Address,Alamat Gudang Tujuan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Casual Leave,Cuti Biasa
DocType: Shift Type,The time before the shift start time during which Employee Check-in is considered for attendance.,Waktu sebelum shift dimulai saat di mana check-in sudah dianggap hadir.
DocType: Agriculture Task,End Day,Hari Akhir
DocType: Batch,Batch ID,Batch ID
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Note: {0},Catatan: {0}
DocType: Stock Settings,Action if Quality inspection is not submitted,Tindakan jika Pemeriksaan Kualitas tidak diajukan
,Delivery Note Trends,Tren Nota Pengiriman
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,This Week's Summary,Ringkasan minggu ini
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,In Stock Qty,Jumlah tersedia
,Daily Work Summary Replies,Balasan Ringkasan Pekerjaan Harian
DocType: Delivery Trip,Calculate Estimated Arrival Times,Hitung Perkiraan Waktu Kedatangan
apps/erpnext/erpnext/accounts/general_ledger.py,Account: {0} can only be updated via Stock Transactions,Akun: {0} hanya dapat diperbarui melalui Transaksi Persediaan
DocType: Student Group Creation Tool,Get Courses,Ambil Kursus
DocType: Tally Migration,ERPNext Company,Perusahaan
DocType: Shopify Settings,Webhooks,Webhooks
DocType: Bank Account,Party,Pihak
DocType: Healthcare Settings,Patient Name,Nama Pasien
DocType: Variant Field,Variant Field,Field Varian
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Target Location,Lokasi Target
DocType: Sales Order,Delivery Date,Tanggal Pengiriman
DocType: Opportunity,Opportunity Date,Tanggal Peluang
DocType: Employee,Health Insurance Provider,Penyedia Asuransi Kesehatan
DocType: Service Level,Holiday List (ignored during SLA calculation),Daftar Libur (diabaikan selama perhitungan PTL)
DocType: Products Settings,Show Availability Status,Tampilkan Status Ketersediaan
DocType: Purchase Receipt,Return Against Purchase Receipt,Retur Terhadap Nota Pembelian
DocType: Water Analysis,Person Responsible,Penanggung Jawab
DocType: Request for Quotation Item,Request for Quotation Item,Item Permintaan Penawaran
DocType: Purchase Order,To Bill,Untuk Ditagihkan
DocType: Material Request,% Ordered,% Dipesan
DocType: Education Settings,"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","Untuk Kelompok Siswa Berbasis Kursus, Kursus akan divalidasi untuk setiap Siswa dari Program Pendaftaran Pendaftaran Program yang terdaftar."
DocType: Employee Grade,Employee Grade,Grade Karyawan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Piecework,Piecework
DocType: GSTR 3B Report,June,Juni
DocType: Share Balance,From No,Dari No.
DocType: Shift Type,Early Exit Grace Period,Masa Tenggang Keluar Awal
DocType: Task,Actual Time (in Hours),Waktu Aktual (dalam Jam)
DocType: Employee,History In Company,Sejarah Dalam Perusahaan
DocType: Customer,Customer Primary Address,Alamat utama pelanggan
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Connected,Panggilan Terhubung
apps/erpnext/erpnext/config/crm.py,Newsletters,Surat edaran
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Reference No.,No. Referensi.
DocType: Drug Prescription,Description/Strength,Deskripsi/Kekuatan
apps/erpnext/erpnext/config/hr.py,Energy Point Leaderboard,Papan Poin Energi
DocType: Bank Statement Transaction Entry,Create New Payment/Journal Entry,Buat Pembayaran Baru/Entri Jurnal
DocType: Certification Application,Certification Application,Aplikasi Sertifikasi
DocType: Leave Type,Is Optional Leave,Adalah Cuti Opsional
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Declare Lost,Nyatakan Hilang
DocType: Share Balance,Is Company,Adalah perusahaan
DocType: Pricing Rule,Same Item,Barang Yang Sama
DocType: Stock Ledger Entry,Stock Ledger Entry,Entri Buku Persediaan
DocType: Quality Action Resolution,Quality Action Resolution,Penyelesaian Tindakan Kualitas
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} on Half day Leave on {1},{0} sedang Cuti Setengah Hari pada {1}
DocType: Department,Leave Block List,Daftar Blokir Cuti
DocType: Purchase Invoice,Tax ID,NPWP
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item {0} is not setup for Serial Nos. Column must be blank,Stok Barang {0} tidak diatur untuk Nomor Seri. Kolom harus kosong
apps/erpnext/erpnext/regional/india/utils.py,Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,ID GST Kurir atau No Kendaraan diperlukan jika Moda Transportasi adalah Jalan
DocType: Accounts Settings,Accounts Settings,Pengaturan Akun
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Approve,Menyetujui
DocType: Loyalty Program,Customer Territory,Wilayah Pelanggan
DocType: Email Digest,Sales Orders to Deliver,Order Penjualan sampai Pengiriman
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Number of new Account, it will be included in the account name as a prefix","Nomor Akun baru, akan disertakan dalam nama akun sebagai awalan"
DocType: Maintenance Team Member,Team Member,Anggota tim
DocType: GSTR 3B Report,Invoices with no Place Of Supply,Faktur tanpa Tempat Persediaan
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,No Result to submit,Tidak ada hasil untuk disampaikan
DocType: Customer,Sales Partner and Commission,Mitra Penjualan dan Komisi
DocType: Loan,Rate of Interest (%) / Year,Tingkat bunga (%) / Tahun
,Project Quantity,Kuantitas Proyek
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Total {0} untuk semua item adalah nol, mungkin anda harus mengubah 'Distribusikan Biaya Berdasarkan'"
apps/erpnext/erpnext/hr/utils.py,To date can not be less than from date,Tanggal akhir tidak bisa sebelum tanggal awal
DocType: Opportunity,To Discuss,Untuk Diskusi
apps/erpnext/erpnext/stock/stock_ledger.py,{0} units of {1} needed in {2} to complete this transaction.,{0} unit {1} dibutuhkan dalam {2} untuk menyelesaikan transaksi ini.
DocType: Loan Type,Rate of Interest (%) Yearly,Tingkat bunga (%) Tahunan
apps/erpnext/erpnext/config/quality_management.py,Quality Goal.,Tujuan Kualitas.
DocType: Support Settings,Forum URL,URL Forum
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Temporary Accounts,Akun Sementara
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source Location is required for the asset {0},Lokasi Sumber diperlukan untuk aset {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Black,Hitam
DocType: BOM Explosion Item,BOM Explosion Item,Rincian Barang BOM
DocType: Shareholder,Contact List,Daftar Kontak
DocType: Account,Auditor,Akuntan
DocType: Project,Frequency To Collect Progress,Frekuensi Untuk Mengumpulkan Kemajuan
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items produced,{0} item diproduksi
apps/erpnext/erpnext/utilities/user_progress.py,Learn More,Pelajari Lanjut
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,{0} is not added in the table,{0} tidak ditambahkan dalam tabel
DocType: Payment Entry,Party Bank Account,Rekening Bank Pihak
DocType: Cheque Print Template,Distance from top edge,Jarak dari tepi atas
DocType: POS Closing Voucher Invoices,Quantity of Items,Kuantitas Item
apps/erpnext/erpnext/stock/get_item_details.py,Price List {0} is disabled or does not exist,Daftar Harga {0} dinonaktifkan atau tidak ada
DocType: Purchase Invoice,Return,Retur
DocType: Account,Disable,Nonaktifkan
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Mode of payment is required to make a payment,Moda pembayaran diperlukan untuk melakukan pembayaran
DocType: Task,Pending Review,Tinjauan Tertunda
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,"Edit in full page for more options like assets, serial nos, batches etc.","Edit di halaman penuh untuk lebih banyak pilihan seperti aset, serial nos, batch dll."
DocType: Leave Type,Maximum Continuous Days Applicable,Maksimum Berlanjut Hari Berlaku
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 4,Rentang Penuaan 4
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is not enrolled in the Batch {2},{0} - {1} tidak terdaftar dalam Batch {2}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,"Asset {0} cannot be scrapped, as it is already {1}","Aset {0} tidak bisa dihapus, karena sudah {1}"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Cheques Required,Cek Diperlukan
DocType: Task,Total Expense Claim (via Expense Claim),Jumlah Klaim Biaya (via Klaim Biaya)
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Absent,Tandai Absen
DocType: Job Applicant Source,Job Applicant Source,Sumber Pemohon Pekerjaan
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,IGST Amount,Jumlah IGST
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup company,Gagal menata perusahaan
DocType: Asset Repair,Asset Repair,Perbaikan Aset
DocType: Warehouse,Warehouse Type,Jenis Gudang
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Baris {0}: Mata dari BOM # {1} harus sama dengan Valuta yang dipilih {2}
DocType: Journal Entry Account,Exchange Rate,Nilai Tukar
DocType: Patient,Additional information regarding the patient,Informasi tambahan mengenai pasien
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Sales Order {0} is not submitted,Order Penjualan {0} tidak Terkirim
DocType: Homepage,Tag Line,Tag Line
DocType: Fee Component,Fee Component,biaya Komponen
apps/erpnext/erpnext/config/hr.py,Fleet Management,Manajemen Armada
apps/erpnext/erpnext/config/agriculture.py,Crops & Lands,Tanaman & Lahan
DocType: Shift Type,Enable Exit Grace Period,Aktifkan Masa Tenggang Keluar
DocType: Cheque Print Template,Regular,Reguler
DocType: Fertilizer,Density (if liquid),Densitas (jika cair)
apps/erpnext/erpnext/education/doctype/course/course.py,Total Weightage of all Assessment Criteria must be 100%,Total weightage semua Kriteria Penilaian harus 100%
DocType: Purchase Order Item,Last Purchase Rate,Tingkat Pembelian Terakhir
DocType: GSTR 3B Report,August,Agustus
DocType: Account,Asset,Aset
DocType: Quality Goal,Revised On,Revisi Pada
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock cannot exist for Item {0} since has variants,Persediaan tidak bisa muncul untuk Barang {0} karena memiliki varian
DocType: Healthcare Practitioner,Mobile,Mobile
DocType: Issue,Reset Service Level Agreement,Setel Ulang Perjanjian Tingkat Layanan
,Sales Person-wise Transaction Summary,Rangkuman Transaksi per Penjual
DocType: Training Event,Contact Number,Nomor Kontak
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouse {0} does not exist,Gudang {0} tidak ada
DocType: Cashier Closing,Custody,Tahanan
DocType: Employee Tax Exemption Proof Submission Detail,Employee Tax Exemption Proof Submission Detail,Rincian Bukti Pengecualian Pajak Karyawan
DocType: Monthly Distribution,Monthly Distribution Percentages,Persentase Distribusi bulanan
apps/erpnext/erpnext/stock/doctype/batch/batch.py,The selected item cannot have Batch,Item yang dipilih tidak bisa memiliki Batch
DocType: Delivery Note,% of materials delivered against this Delivery Note,% Dari materi yang Terkirim terhadap Pengiriman ini Note
DocType: Asset Maintenance Log,Has Certificate,Ada Sertifikat
DocType: Project,Customer Details,Rincian Pelanggan
apps/erpnext/erpnext/regional/report/irs_1099/irs_1099.js,Print IRS 1099 Forms,Cetak Formulir IRS 1099
DocType: Asset,Check if Asset requires Preventive Maintenance or Calibration,Periksa apakah Aset memerlukan Pemeliharaan atau Kalibrasi Pencegahan
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation cannot have more than 5 characters,Singkatan Nama Perusahaan tidak boleh lebih dari 5 huruf
DocType: Employee,Reports to,Melapor kepada
,Unpaid Expense Claim,Klaim Biaya Terhutang
DocType: Payment Entry,Paid Amount,Dibayar Jumlah
apps/erpnext/erpnext/utilities/user_progress.py,Explore Sales Cycle,Jelajahi Siklus Penjualan
DocType: Assessment Plan,Supervisor,Pengawas
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Retention Stock Entry,Entri Retensi Persediaan
,Available Stock for Packing Items,Persediaan tersedia untuk Item Kemasan
DocType: Item Variant,Item Variant,Varian Item
DocType: Employee Skill Map,Trainings,Pelatihan
,Work Order Stock Report,Laporan Persediaan Perintah Kerja
DocType: Purchase Receipt,Auto Repeat Detail,Rincian Auto Repeat
DocType: Assessment Result Tool,Assessment Result Tool,Alat Hasil penilaian
apps/erpnext/erpnext/education/doctype/instructor/instructor.js,As Supervisor,Sebagai Pengawas
DocType: Leave Policy Detail,Leave Policy Detail,Rincian Kebijakan Cuti
DocType: BOM Scrap Item,BOM Scrap Item,BOM Scrap Barang
apps/erpnext/erpnext/accounts/page/pos/pos.js,Submitted orders can not be deleted,Order yang sudah dikonfirmasi tidak bisa dihapus
DocType: Leave Control Panel,Department (optional),Departemen (opsional)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Saldo akun sudah berada di Debet, tidak bisa menjadikan 'Saldo Harus' sebagai 'Kredit'"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Jika anda {0} {1} item bernilai <b>{2}</b> , skema <b>{3}</b> akan diterapkan pada item."
DocType: Customer Feedback,Quality Management,Manajemen Kualitas
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} has been disabled,Item {0} telah dinonaktifkan
DocType: Project,Total Billable Amount (via Timesheets),Total Jumlah Dapat Ditagih (via Lembar Waktu)
DocType: Agriculture Task,Previous Business Day,Hari Kerja Sebelumnya
DocType: Loan,Repay Fixed Amount per Period,Menyicil Jumlah Tetap per Periode
DocType: Employee,Health Insurance No,No. Asuransi Kesehatan
DocType: Employee Tax Exemption Proof Submission,Tax Exemption Proofs,Bukti Pengecualian Pajak
apps/erpnext/erpnext/buying/utils.py,Please enter quantity for Item {0},Mohon masukkan untuk Item {0}
DocType: Quality Procedure,Processes,Proses
DocType: Shift Type,First Check-in and Last Check-out,Check-in Pertama dan Check-out Terakhir
apps/erpnext/erpnext/regional/report/hsn_wise_summary_of_outward_supplies/hsn_wise_summary_of_outward_supplies.py,Total Taxable Amount,Jumlah Jumlah Kena Pajak
DocType: Employee External Work History,Employee External Work History,Riwayat Kerja Eksternal Karyawan
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Job card {0} created,Kartu kerja {0} dibuat
DocType: Opening Invoice Creation Tool,Purchase,Pembelian
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Balance Qty,Qty Saldo
DocType: Pricing Rule,Conditions will be applied on all the selected items combined. ,Ketentuan akan diterapkan pada semua item yang dipilih digabungkan.
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Goals cannot be empty,Tujuan tidak boleh kosong
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,Enrolling students,Siswa Mendaftar
DocType: Item Group,Parent Item Group,Induk Kelompok Item
DocType: Appointment Type,Appointment Type,Jenis Perjanjian
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py,{0} for {1},{0} untuk {1}
DocType: Healthcare Settings,Valid number of days,Jumlah hari berlaku
apps/erpnext/erpnext/setup/doctype/company/company.js,Cost Centers,Pusat Biaya
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Restart Subscription,Mulai Ulang Langganan
DocType: Linked Plant Analysis,Linked Plant Analysis,Analisis Tanaman Terkait
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Transporter ID,ID Kurir
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Value Proposition,Proposisi Nilai
DocType: Purchase Receipt,Rate at which supplier's currency is converted to company's base currency,Nilai tukar Valuta Pemasok ke Valuta dasar perusahaan
DocType: Purchase Invoice Item,Service End Date,Tanggal Akhir Layanan
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,Row #{0}: Timings conflicts with row {1},Baris #{0}: konflik Timing dengan baris {1}
DocType: Purchase Invoice Item,Allow Zero Valuation Rate,Izinkan Tarif Valuasi Nol
DocType: Bank Guarantee,Receiving,Menerima
DocType: Training Event Employee,Invited,Diundang
apps/erpnext/erpnext/config/accounting.py,Setup Gateway accounts.,Akun Pengaturan Gerbang.
apps/erpnext/erpnext/config/integrations.py,Connect your bank accounts to ERPNext,Hubungkan rekening bank anda
DocType: Employee,Employment Type,Jenis Pekerjaan
apps/erpnext/erpnext/config/projects.py,Make project from a template.,Buat proyek dari templat.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Fixed Assets,Aktiva Tetap
DocType: Payment Entry,Set Exchange Gain / Loss,Set Efek Gain / Loss
,GST Purchase Register,Daftar Pembelian GST
,Cash Flow,Arus Kas
DocType: Shareholder,ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,Combined invoice portion must equal 100%,Bagian invoice gabungan harus sama dengan 100%
DocType: Item Default,Default Expense Account,Beban standar Akun
DocType: GST Account,CGST Account,Akun CGST
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Student Email ID,ID Email Siswa
DocType: Employee,Notice (days),Notice (hari)
DocType: POS Closing Voucher Invoices,POS Closing Voucher Invoices,Faktur Voucher Penutupan POS
DocType: Tax Rule,Sales Tax Template,Template Pajak Penjualan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Download JSON,Unduh JSON
DocType: Employee Benefit Application Detail,Pay Against Benefit Claim,Membayar Terhadap Klaim Tunjangan
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Update Cost Center Number,Perbarui Nomor Pusat Biaya
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select items to save the invoice,Pilih item untuk menyimpan faktur
DocType: Employee,Encashment Date,Tanggal Penguangan
DocType: Training Event,Internet,Internet
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Seller Information,Informasi Penjual
DocType: Special Test Template,Special Test Template,Template Uji Khusus
DocType: Account,Stock Adjustment,Penyesuaian Persediaan
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py,Default Activity Cost exists for Activity Type - {0},Standar Kegiatan Biaya ada untuk Jenis Kegiatan - {0}
DocType: Work Order,Planned Operating Cost,Rencana Biaya Operasi
DocType: Academic Term,Term Start Date,Tanggal Mulai Periode Belajar
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Authentication Failed,Otentikasi gagal
apps/erpnext/erpnext/config/accounting.py,List of all share transactions,Daftar semua transaksi saham
DocType: Supplier,Is Transporter,Adalah Kurir
DocType: Shopify Settings,Import Sales Invoice from Shopify if Payment is marked,Impor Faktur Penjualan dari Shopify jika Pembayaran ditandai
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Opp Count,Hitungan Peluang
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Both Trial Period Start Date and Trial Period End Date must be set,Tanggal Awal Periode Coba dan Tanggal Akhir Periode Coba harus ditetapkan
apps/erpnext/erpnext/accounts/report/share_balance/share_balance.py,Average Rate,Harga Rata-rata
apps/erpnext/erpnext/controllers/accounts_controller.py,Total Payment Amount in Payment Schedule must be equal to Grand / Rounded Total,Jumlah Total Pembayaran dalam Jadwal Pembayaran harus sama dengan Total Grand / Pembulatan
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot have Valuation Rate","""Barang Dari Pelanggan"" tidak bisa mempunyai Tarif Valuasi"
DocType: Subscription Plan Detail,Plan,Paket
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Bank Statement balance as per General Ledger,Saldo Laporan Bank sesuai Buku Besar
DocType: Job Applicant,Applicant Name,Nama Pemohon
DocType: Authorization Rule,Customer / Item Name,Nama Pelanggan / Barang
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Menggabungkan sekumpulan **Barang-barang** menjadi **Barang** lain. Hal ini berguna bila anda menyusun **Barang-barang** tertentu menjadi sebuah paket dan anda mengelola persediaan **Barang-barang** paket dan bukan sekumpulan **Barang**. **Barang** paket akan menampilkan ""Tidak"" pada ""Barang Stok"" dan ""Ya"" pada ""Barang Jualan"". Sebagai contoh: jika anda menjual Laptop dan Ransel secara terpisah namun memiliki harga khusus bila pelanggan membeli keduanya, maka Laptop + Backpack akan menjadi barang Bundel Produk baru. Catatan: BOM = Bill of Materials"
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Serial No is mandatory for Item {0},Nomor Seri adalah wajib untuk Item {0}
DocType: Website Attribute,Attribute,Atribut
DocType: Staffing Plan Detail,Current Count,Hitungan Saat Ini
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,Please specify from/to range,Silakan tentukan dari / ke berkisar
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Opening {0} Invoice created,Membuka {0} Faktur dibuat
DocType: Serial No,Under AMC,Termasuk AMC
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Item valuation rate is recalculated considering landed cost voucher amount,Tingkat penilaian Item dihitung ulang mengingat mendarat biaya jumlah voucher
apps/erpnext/erpnext/config/selling.py,Default settings for selling transactions.,Pengaturan standar untuk transaksi penjualan.
DocType: Guardian,Guardian Of ,Wali dari 
DocType: Grading Scale Interval,Threshold,Ambang
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Filter Employees By (Optional),Filter Karyawan Menurut (Opsional)
DocType: BOM Update Tool,Current BOM,BOM saat ini
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Balance (Dr - Cr),Saldo (Db - Kr)
DocType: Pick List,Qty of Finished Goods Item,Jumlah Barang Jadi
apps/erpnext/erpnext/public/js/utils.js,Add Serial No,Tambahkan Nomor Seri
DocType: Work Order Item,Available Qty at Source Warehouse,Qty Tersedia di Gudang Asal
apps/erpnext/erpnext/config/support.py,Warranty,Jaminan
DocType: Purchase Invoice,Debit Note Issued,Nota Debet Diterbitkan
